timestamp,ch1
1701530512.3009999,-7742.286651407082
1701530512.305,-7862.360222620991
1701530512.309,-7941.574804970599
1701530512.313,-8041.777675363741
1701530512.317,-8174.2788164948015
1701530512.3209999,-8304.768300624884
1701530512.325,-8423.05373228237
1701530512.329,-8460.604662967286
1701530512.333,-8477.43552654213
1701530512.337,-8467.332538048333
1701530512.3409998,-8471.601721239296
1701530512.3449998,-8493.327616849854
1701530512.349,-8494.266390116976
1701530512.353,-8499.943733208625
1701530512.3569999,-8546.524768653486
1701530512.3609998,-8682.15515400829
1701530512.365,-8803.703940356248
1701530512.369,-8876.950606936289
1701530512.373,-8972.861942394013
1701530512.3769999,-9022.572222062614
1701530512.3809998,-9071.477838930827
1701530512.385,-9088.8451443726
1701530512.389,-9087.124060049542
1701530512.393,-9084.866533859557
1701530512.3969998,-9089.381586239528
1701530512.4009998,-9183.348319929639
1701530512.405,-9289.340292136705
1701530512.409,-9345.890205608632
1701530512.4129999,-9421.260287911928
1701530512.417,-9492.875277146732
1701530512.421,-9517.953934425585
1701530512.425,-9509.54967851039
1701530512.4290001,-9425.082436213785
1701530512.433,-9300.069129475252
1701530512.437,-9160.348374885127
1701530512.441,-9037.100855958564
1701530512.4450002,-8886.383043096428
1701530512.4490001,-8691.699348890705
1701530512.453,-8525.648239332228
1701530512.457,-8356.736106483473
1701530512.461,-8256.600291323697
1701530512.4650002,-8194.551848715764
1701530512.469,-8127.161339183014
1701530512.473,-8113.191498898447
1701530512.477,-8160.599548888154
1701530512.481,-8235.746113746896
1701530512.4850001,-8306.198812270024
1701530512.489,-8297.21341099899
1701530512.493,-8277.610931111685
1701530512.497,-8227.207747364968
1701530512.501,-8144.819217302706
1701530512.5049999,-8055.88162611504
1701530512.509,-8044.012849809272
1701530512.513,-8112.342132609146
1701530512.517,-8266.658576328586
1701530512.521,-8461.856360656782
1701530512.525,-8622.364237590342
1701530512.529,-8665.90543578928
1701530512.533,-8608.684969983695
1701530512.537,-8448.199444794589
1701530512.541,-8195.132994071602
1701530512.545,-7890.568124123589
1701530512.549,-7654.310185230993
1701530512.553,-7489.354311150827
1701530512.557,-7422.746112674012
1701530512.5609999,-7488.817869283899
1701530512.565,-7611.685408554722
1701530512.569,-7697.672569474289
1701530512.573,-7765.219541218226
1701530512.577,-7822.685876212821
1701530512.5809999,-7820.517757000656
1701530512.5849998,-7771.723898854721
1701530512.589,-7660.568673678479
1701530512.593,-7584.013948919052
1701530512.597,-7578.202495360672
1701530512.6009998,-7656.455952698702
1701530512.605,-7731.334296623982
1701530512.609,-7786.856029850964
1701530512.613,-7892.84800205803
1701530512.6169999,-8013.860346539062
1701530512.6209998,-8090.057443387204
1701530512.625,-8138.4713218773995
1701530512.629,-8145.065086491715
1701530512.633,-8116.3430948666455
1701530512.6369998,-8106.888306962051
1701530512.6409998,-8072.243103056325
1701530512.645,-8058.541483705221
1701530512.649,-8032.97108804835
1701530512.6529999,-8083.821306684174
1701530512.657,-8157.045621519759
1701530512.661,-8190.215610291435
1701530512.665,-8214.62371523663
1701530512.6690001,-8188.695691668474
1701530512.673,-8124.345019381645
1701530512.677,-8017.391922163001
1701530512.681,-7946.067505606116
1701530512.6850002,-7958.025688889706
1701530512.6890001,-7929.527214709189
1701530512.693,-7928.074351319594
1701530512.697,-7994.794308518685
1701530512.701,-8027.003172278783
1701530512.7050002,-8013.905050027973
1701530512.709,-7960.663194735432
1701530512.713,-7906.303752220125
1701530512.717,-7836.812178708575
1701530512.721,-7810.280658040126
1701530512.7250001,-7788.465355451746
1701530512.729,-7805.095053326494
1701530512.733,-7868.618711068477
1701530512.737,-7946.626299217499
1701530512.741,-8069.627948955053
1701530512.745,-8202.889049397594
1701530512.749,-8277.92385553406
1701530512.753,-8228.48179679892
1701530512.757,-8123.138025181059
1701530512.761,-8025.930288544928
1701530512.765,-7956.483418522289
1701530512.769,-7889.539943878644
1701530512.773,-7878.431126884357
1701530512.777,-7923.022857072695
1701530512.781,-7983.327863613113
1701530512.785,-8019.694151841897
1701530512.789,-8027.427855423433
1701530512.793,-7969.469782050823
1701530512.797,-7917.390217469957
1701530512.8009999,-7880.062804229594
1701530512.805,-7819.221355822248
1701530512.809,-7737.570433327011
1701530512.813,-7676.326653519471
1701530512.817,-7650.331574717949
1701530512.8209999,-7669.75524064961
1701530512.8249998,-7720.359590096426
1701530512.829,-7766.471238907724
1701530512.833,-7803.463375981257
1701530512.837,-7859.610958052988
1701530512.8409998,-7906.4378626868565
1701530512.845,-7913.031627301172
1701530512.849,-7892.758595080209
1701530512.853,-7878.118202461983
1701530512.8569999,-7854.537112061634
1701530512.8609998,-7836.946289175307
1701530512.865,-7830.911318172374
1701530512.869,-7833.459417040279
1701530512.873,-7829.88313792743
1701530512.8769999,-7876.553580350111
1701530512.8809998,-7953.354174298546
1701530512.885,-8021.102311742582
1701530512.889,-8044.549291676199
1701530512.893,-8067.862161143084
1701530512.897,-8118.690028034453
1701530512.901,-8157.4926564088655
1701530512.905,-8167.863865836128
1701530512.9090002,-8155.168074985514
1701530512.913,-8091.063271887693
1701530512.917,-8021.884622798518
1701530512.921,-7954.918796410418
1701530512.9250002,-7896.1113567485045
1701530512.9290001,-7801.563477702556
1701530512.933,-7753.9989655016625
1701530512.937,-7740.364401383925
1701530512.941,-7751.6296805894
1701530512.9450002,-7757.7540585701545
1701530512.9490001,-7729.143825667361
1701530512.953,-7686.85432515792
1701530512.957,-7655.114848031384
1701530512.961,-7633.008972765086
1701530512.9650002,-7622.45894938218
1701530512.969,-7574.44740229218
1701530512.973,-7564.746745198578
1701530512.977,-7586.539696042502
1701530512.981,-7613.987638233619
1701530512.985,-7615.373446389848
1701530512.989,-7594.519268813046
1701530512.993,-7564.880855665309
1701530512.997,-7541.0985995648625
1701530513.001,-7502.854764801832
1701530513.005,-7453.770333977978
1701530513.009,-7359.490675865492
1701530513.013,-7284.053538328832
1701530513.017,-7259.600729894725
1701530513.021,-7263.780506107868
1701530513.025,-7275.448116713538
1701530513.029,-7267.937930576555
1701530513.033,-7237.874834284167
1701530513.037,-7231.5269388588595
1701530513.041,-7228.800026035313
1701530513.045,-7206.314171113274
1701530513.049,-7163.354118270174
1701530513.053,-7154.74869665488
1701530513.057,-7175.714632953958
1701530513.0609999,-7226.631906823148
1701530513.0649998,-7269.256683499419
1701530513.069,-7321.515062035926
1701530513.073,-7385.753975600479
1701530513.077,-7483.073470958886
1701530513.0809999,-7584.528039041525
1701530513.085,-7673.152705806817
1701530513.089,-7696.130299106872
1701530513.093,-7724.472311076202
1701530513.097,-7732.518939080112
1701530513.1009998,-7752.993137001174
1701530513.105,-7798.21071603426
1701530513.109,-7843.875329956452
1701530513.113,-7887.863563044497
1701530513.1169999,-7924.766293140208
